type,basisOfRecord,ocurrenceID,rightsHolder,institutionID,institutionCode,collectionCode,datasetName,catalogNumber,recordedBy,sex,lifeStage,reproductiveCondition,molt,eventDate,year,month,day,habitat,habitatVerbatim,country,countryCode,county,municipality,locality,verbatimLocality,elevation,decimalLatitude,decimalLongitude,geodeticDatum,verbatimCoordinates,verbatimLatitude,verbatimLongitude,verbatimCoordinateSystem,scientificName,acceptedNameUsage,Kingdom,phylum,class,order,family,genus,scientificNameAutorship,vernacularNameEnglish,migratoryStatus,weight,weightUnit,weightVerbatim,totalCulmen,totalCulmenUnit,totalCulmenVerbatim,billDepth,billDepthUnit,billDepthVerbatim,billWidth,billWidthUnit,billWidthVerbatim,gape,gapeUnit,gapeVerbatim,wingLength,wingLengthUnit,wingLengthVerbatim,tailLength,tailLengthUnit,tailLengthVerbatim,tarsusLength,tarsusLengthUnit,tarsusLengthVerbatim,totalLength,totalLengthUnit,totalLengthVerbatim
PhysicalObject,PreservedSpecimen,UCa:MHNUCa-0318,Universidad de Caldas,Universidad de Caldas,UCa,MHNUCa,CaldasBirds (Project VPU-CA-1557),MHNUCa-0318,"AMVD, JFBG, MBM",Undetermined,,,No molt present,2002-10-03,2002,10,3,,,Colombia,CO,Caldas,Chinchiná,,Reserva Forestal Protectora Planalto,,4.990361,-75.589972,WGS84,4°59'25.30'' N 75°35'23.90'' W,4°59'25.30'' N,75°35'23.90'' W,UTM18,Elaenia flavogaster,Elaenia flavogaster,Animal,Chordata,Aves,Passeriformes,Tyrannidae,Elaenia,"(Thunberg, 1822)",Yellow-bellied Elaenia,Resident,,,,14.14,mm,,4.26,mm,,6.58,mm,,,,,78,mm,,70,mm,,15.63,mm,,170,mm,
PhysicalObject,PreservedSpecimen,UCa:MHNUCa-0139,Universidad de Caldas,Universidad de Caldas,UCa,MHNUCa,CaldasBirds (Project VPU-CA-1557),MHNUCa-0139,"AMVD, JFBG, MBM",Undetermined,,,No molt present,1985-09-04,1985,9,4,Forest,Young second-growth forest,Colombia,CO,Caldas,Manizales,,Reserva Forestal Protectora de Río Blanco,,5.070275,-75.513817,WGS84,"5°04'12.99"" N 75°30'49.74"" W","5°04'12.99"" N","75°30'49.74"" W",UTM18,Elaenia frantzii,Elaenia frantzii,Animal,Chordata,Aves,Passeriformes,Tyrannidae,Elaenia,"(Lawrence, 1865)",Mountain Elaenia,Resident,,,,12.86,mm,,3.3,mm,,4.72,mm,,,,,70.1,mm,,65.5,mm,,15.21,mm,,145,mm,
PhysicalObject,PreservedSpecimen,UCa:MHNUCa-0138,Universidad de Caldas,Universidad de Caldas,UCa,MHNUCa,CaldasBirds (Project VPU-CA-1557),MHNUCa-0138,"AMVD, JFBG, MBM",Male,,,No molt present,1975-07-19,1975,7,19,,,Colombia,CO,Caldas,Villamaría,,Hacienda San José,,5.042653,-75.514772,WGS84,"5°02'33.25"" N 75°30'53.18"" W","5°02'33.25"" N","75°30'53.18"" W",UTM18,Elaenia frantzii,Elaenia frantzii,Animal,Chordata,Aves,Passeriformes,Tyrannidae,Elaenia,"(Lawrence, 1865)",Mountain Elaenia,Resident,16,g,,12.93,mm,,3.26,mm,,4.6,mm,,,,,75,mm,,70,mm,,12.69,mm,,140,mm,
PhysicalObject,PreservedSpecimen,UCa:MHNUCa-0140,Universidad de Caldas,Universidad de Caldas,UCa,MHNUCa,CaldasBirds (Project VPU-CA-1557),MHNUCa-0140,"AMVD, JFBG, MBM",Male,,,No molt present,,,,,,,Colombia,CO,Caldas,Villamaría,,Hacienda Valles,,5.042653,-75.514772,WGS84,"5°02'33.25"" N 75°30'53.18"" W","5°02'33.25"" N","75°30'53.18"" W",UTM18,Elaenia frantzii,Elaenia frantzii,Animal,Chordata,Aves,Passeriformes,Tyrannidae,Elaenia,"(Lawrence, 1865)",Mountain Elaenia,Resident,15,g,,12.9,mm,,3.73,mm,,4.3,mm,,,,,73,mm,,70,mm,,15.3,mm,,143,mm,
PhysicalObject,PreservedSpecimen,UCa:MHNUCa-0143,Universidad de Caldas,Universidad de Caldas,UCa,MHNUCa,CaldasBirds (Project VPU-CA-1557),MHNUCa-0143,"AMVD, JFBG, MBM",Female,,,No molt present,1976-07-20,1976,7,20,,,Colombia,CO,Caldas,Manizales,,Reserva Forestal Protectora de Río Blanco,,5.070275,-75.513817,WGS84,"5°04'12.99"" N 75°30'49.74"" W","5°04'12.99"" N","75°30'49.74"" W",UTM18,Elaenia frantzii,Elaenia frantzii,Animal,Chordata,Aves,Passeriformes,Tyrannidae,Elaenia,"(Lawrence, 1865)",Mountain Elaenia,Resident,16,g,,13.25,mm,,3.62,mm,,4.84,mm,,,,,72,mm,,72,mm,,13.89,mm,,,,
PhysicalObject,PreservedSpecimen,UCa:MHNUCa-0144,Universidad de Caldas,Universidad de Caldas,UCa,MHNUCa,CaldasBirds (Project VPU-CA-1557),MHNUCa-0144,"AMVD, JFBG, MBM",Female,,,No molt present,1985-09-11,1985,9,11,Forest,Young second-growth forest,Colombia,CO,Caldas,Manizales,,Reserva Forestal Protectora de Río Blanco,,5.070275,-75.513817,WGS84,"5°04'12.99"" N 75°30'49.74"" W","5°04'12.99"" N","75°30'49.74"" W",UTM18,Elaenia frantzii,Elaenia frantzii,Animal,Chordata,Aves,Passeriformes,Tyrannidae,Elaenia,"(Lawrence, 1865)",Mountain Elaenia,Resident,,,,12.99,mm,,3.5,mm,,4.4,mm,,,,,70,mm,,39.5,mm,,14.68,mm,,145,mm,
PhysicalObject,PreservedSpecimen,UCa:MHNUCa-0236,Universidad de Caldas,Universidad de Caldas,UCa,MHNUCa,CaldasBirds (Project VPU-CA-1557),MHNUCa-0236,"AMVD, JFBG, MBM",,,,No molt present,1985-03-01,1985,3,1,,,Colombia,CO,Caldas,Manizales,,Alto de las palmas,,5.070275,-75.513817,WGS84,"5°04'12.99"" N 75°30'49.74"" W","5°04'12.99"" N","75°30'49.74"" W",UTM18,Tangara vassorii,Tangara vassorii,Animal,Chordata,Aves,Passeriformes,Thraupidae,Tangara,"(Boissonneau, 1840)",Blue-and-black Tanager,Resident,,,,12.12,mm,,,,,,,,,,,75,mm,,60,mm,,17.47,mm,,130,mm,
PhysicalObject,PreservedSpecimen,UCa:MHNUCa-0240,Universidad de Caldas,Universidad de Caldas,UCa,MHNUCa,CaldasBirds (Project VPU-CA-1557),MHNUCa-0240,"AMVD, JFBG, MBM",,,,No molt present,1985-04-01,1985,4,1,,,Colombia,CO,Caldas,Manizales,,Reserva Forestal Protectora de Río Blanco,,5.070275,-75.513817,WGS84,"5°04'12.99"" N 75°30'49.74"" W","5°04'12.99"" N","75°30'49.74"" W",UTM18,Tangara vassorii,Tangara vassorii,Animal,Chordata,Aves,Passeriformes,Thraupidae,Tangara,"(Boissonneau, 1840)",Blue-and-black Tanager,Resident,,,,12.1,mm,,4.7,mm,,4.53,mm,,,,,73,mm,,58,mm,,15.16,mm,,130,mm,
PhysicalObject,PreservedSpecimen,UCa:MHNUCa-0254,Universidad de Caldas,Universidad de Caldas,UCa,MHNUCa,CaldasBirds (Project VPU-CA-1557),MHNUCa-0254,"AMVD, JFBG, MBM",Female,,,No molt present,1976-03-05,1976,3,5,,,Colombia,CO,Caldas,Manizales,,Reserva Forestal Protectora de Río Blanco,,5.070275,-75.513817,WGS84,"5°04'12.99"" N 75°30'49.74"" W","5°04'12.99"" N","75°30'49.74"" W",UTM18,Phylloscartes ophthalmicus,Phylloscartes ophthalmicus,Animal,Chordata,Aves,Passeriformes,Tyrannidae,Phylloscartes,"(Taczanowski, 1874)",Marble-faced Bristle-Tyrant,Resident,,,,,,,,,,,,,,,,,,,,,,,,,,,
PhysicalObject,PreservedSpecimen,UCa:MHNUCa-0255,Universidad de Caldas,Universidad de Caldas,UCa,MHNUCa,CaldasBirds (Project VPU-CA-1557),MHNUCa-0255,"AMVD, JFBG, MBM",Male,Inmature,,No molt present,1976-07-20,1976,7,20,,,Colombia,CO,Caldas,Manizales,Vereda El Zancudo,,,5.070275,-75.513817,WGS84,"5°04'12.99"" N 75°30'49.74"" W","5°04'12.99"" N","75°30'49.74"" W",UTM18,Phylloscartes ophthalmicus,Phylloscartes ophthalmicus,Animal,Chordata,Aves,Passeriformes,Tyrannidae,Phylloscartes,"(Taczanowski, 1874)",Marble-faced Bristle-Tyrant,Resident,,,,11.79,mm,,4.6,mm,,4.46,mm,,,,,64.5,mm,,58,mm,,17.46,mm,,135,mm,
